etudeNumero,Echantillon Numero,Espece,Ile,ID Individu,Longueur Bec (mm),Hauteur Bec (mm),Longueur Aile (mm),Masse corporelle (g)
PAL0910,119,Gentoo penguin (Pygoscelis papua),Biscoe,N38A1,47.2,13.7,214,4925
PAL0910,120,Gentoo penguin (Pygoscelis papua),Biscoe,N38A2,NA,NA,NA,NA
PAL0910,121,Gentoo penguin (Pygoscelis papua),Biscoe,N39A1,46.8,14.3,215,4850
PAL0910,122,Gentoo penguin (Pygoscelis papua),Biscoe,N39A2,50.4,15.7,222,5750
PAL0910,123,Gentoo penguin (Pygoscelis papua),Biscoe,N43A1,45.2,14.8,212,5200
PAL0910,124,Gentoo penguin (Pygoscelis papua),Biscoe,N43A2,49.9,16.1,213,5400
PAL0708,1,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A1,46.5,17.9,192,3500
PAL0708,2,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A2,50,19.5,196,3900
PAL0708,3,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A1,51.3,19.2,193,3650
PAL0708,4,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A2,45.4,18.7,188,3525
PAL0708,5,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A1,52.7,19.8,197,3725
PAL0708,6,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A2,45.2,17.8,198,3950
PAL0708,7,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A1,46.1,18.2,178,3250
PAL0708,8,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A2,51.3,18.2,197,3750
PAL0708,9,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A1,46,18.9,195,4150
PAL0708,10,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A2,51.3,19.9,198,3700
PAL0708,11,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A1,46.6,17.8,193,3800
PAL0708,12,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A2,51.7,20.3,194,3775
PAL0708,13,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A1,47,17.3,185,3700
PAL0708,14,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A2,52,18.1,201,4050
PAL0708,15,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A1,45.9,17.1,190,3575
PAL0708,16,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A2,50.5,19.6,201,4050
PAL0708,17,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A1,50.3,20,197,3300
PAL0708,18,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A2,58,17.8,181,3700
PAL0708,19,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A1,46.4,18.6,190,3450
PAL0708,20,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A2,49.2,18.2,195,4400
PAL0708,21,Chinstrap penguin (Pygoscelis antarctica),Dream,N73A1,42.4,17.3,181,3600
PAL0708,22,Chinstrap penguin (Pygoscelis antarctica),Dream,N73A2,48.5,17.5,191,3400
PAL0708,23,Chinstrap penguin (Pygoscelis antarctica),Dream,N85A1,43.2,16.6,187,2900
PAL0708,24,Chinstrap penguin (Pygoscelis antarctica),Dream,N85A2,50.6,19.4,193,3800
PAL0708,25,Chinstrap penguin (Pygoscelis antarctica),Dream,N89A1,46.7,17.9,195,3300
PAL0708,26,Chinstrap penguin (Pygoscelis antarctica),Dream,N89A2,52,19,197,4150
PAL0809,27,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A1,50.5,18.4,200,3400
PAL0809,28,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A2,49.5,19,200,3800
PAL0809,29,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A1,46.4,17.8,191,3700
PAL0809,30,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A2,52.8,20,205,4550
PAL0809,31,Chinstrap penguin (Pygoscelis antarctica),Dream,N63A1,40.9,16.6,187,3200
PAL0809,32,Chinstrap penguin (Pygoscelis antarctica),Dream,N63A2,54.2,20.8,201,4300
PAL0809,33,Chinstrap penguin (Pygoscelis antarctica),Dream,N65A1,42.5,16.7,187,3350
PAL0809,34,Chinstrap penguin (Pygoscelis antarctica),Dream,N65A2,51,18.8,203,4100
PAL0809,35,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A1,49.7,18.6,195,3600
PAL0809,36,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A2,47.5,16.8,199,3900
PAL0809,37,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A1,47.6,18.3,195,3850
PAL0809,38,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A2,52,20.7,210,4800
PAL0809,39,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A1,46.9,16.6,192,2700
PAL0809,40,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A2,53.5,19.9,205,4500
PAL0809,41,Chinstrap penguin (Pygoscelis antarctica),Dream,N74A1,49,19.5,210,3950
PAL0809,42,Chinstrap penguin (Pygoscelis antarctica),Dream,N74A2,46.2,17.5,187,3650
PAL0809,43,Chinstrap penguin (Pygoscelis antarctica),Dream,N75A1,50.9,19.1,196,3550
PAL0809,44,Chinstrap penguin (Pygoscelis antarctica),Dream,N75A2,45.5,17,196,3500
PAL0910,45,Chinstrap penguin (Pygoscelis antarctica),Dream,N86A1,50.9,17.9,196,3675
PAL0910,46,Chinstrap penguin (Pygoscelis antarctica),Dream,N86A2,50.8,18.5,201,4450
PAL0910,47,Chinstrap penguin (Pygoscelis antarctica),Dream,N87A1,50.1,17.9,190,3400
PAL0910,48,Chinstrap penguin (Pygoscelis antarctica),Dream,N87A2,49,19.6,212,4300
PAL0910,49,Chinstrap penguin (Pygoscelis antarctica),Dream,N88A1,51.5,18.7,187,3250
PAL0910,50,Chinstrap penguin (Pygoscelis antarctica),Dream,N88A2,49.8,17.3,198,3675
PAL0910,51,Chinstrap penguin (Pygoscelis antarctica),Dream,N90A1,48.1,16.4,199,3325
PAL0910,52,Chinstrap penguin (Pygoscelis antarctica),Dream,N90A2,51.4,19,201,3950
PAL0910,53,Chinstrap penguin (Pygoscelis antarctica),Dream,N92A1,45.7,17.3,193,3600
PAL0910,54,Chinstrap penguin (Pygoscelis antarctica),Dream,N92A2,50.7,19.7,203,4050
PAL0910,55,Chinstrap penguin (Pygoscelis antarctica),Dream,N93A1,42.5,17.3,187,3350
PAL0910,56,Chinstrap penguin (Pygoscelis antarctica),Dream,N93A2,52.2,18.8,197,3450
PAL0910,57,Chinstrap penguin (Pygoscelis antarctica),Dream,N94A1,45.2,16.6,191,3250
PAL0910,58,Chinstrap penguin (Pygoscelis antarctica),Dream,N94A2,49.3,19.9,203,4050
PAL0910,59,Chinstrap penguin (Pygoscelis antarctica),Dream,N95A1,50.2,18.8,202,3800
PAL0910,60,Chinstrap penguin (Pygoscelis antarctica),Dream,N95A2,45.6,19.4,194,3525
PAL0910,61,Chinstrap penguin (Pygoscelis antarctica),Dream,N96A1,51.9,19.5,206,3950
PAL0910,62,Chinstrap penguin (Pygoscelis antarctica),Dream,N96A2,46.8,16.5,189,3650
PAL0910,63,Chinstrap penguin (Pygoscelis antarctica),Dream,N98A1,45.7,17,195,3650
PAL0910,64,Chinstrap penguin (Pygoscelis antarctica),Dream,N98A2,55.8,19.8,207,4000
PAL0910,65,Chinstrap penguin (Pygoscelis antarctica),Dream,N99A1,43.5,18.1,202,3400
PAL0910,66,Chinstrap penguin (Pygoscelis antarctica),Dream,N99A2,49.6,18.2,193,3775
PAL0910,67,Chinstrap penguin (Pygoscelis antarctica),Dream,N100A1,50.8,19,210,4100
PAL0910,68,Chinstrap penguin (Pygoscelis antarctica),Dream,N100A2,50.2,18.7,198,3775
